feature,slope,intercept,r_squared,p_value,std_err,n
acc_mag_dom_freq,-60.09678473279773,901.5048242995731,0.08872360191485698,0.0,1.5186569565118657,16086
acc_mag_jerk_mean,-0.5006972655750024,931.7463418630001,0.046900304181046876,4.932407537165943e-170,0.017797521373484303,16086
acc_z_jerk_mean,-0.38539431453233597,916.6487418401393,0.041141706177647556,5.7555533255759845e-149,0.014670480441377032,16086
acc_x_jerk_mean,-0.3770500955074391,903.9993207801581,0.040547100144467725,8.479925210673657e-147,0.014462186340331543,16086
acc_z_spectral_energy,-0.5737400021935616,873.7515424650416,0.032152342993632246,2.5365271135763625e-116,0.02482077209930671,16086
acc_mag_spectral_energy,-1.0363495001085978,876.7026831551208,0.026295733493826183,3.298529937084074e-95,0.04972560797288406,16086
acc_max_intercorr,128.305641552944,795.8982791265403,0.024174337763448243,1.3724284655711126e-87,6.427728804775035,16086
acc_mag_energy,-0.25052773316150945,872.9263038621848,0.024056936473358992,3.620006800929032e-87,0.012582034067517563,16086
acc_x_entropy,-78.4424138321713,1060.378673312056,0.024024224342955366,4.743161516747423e-87,3.94229163864804,16086
acc_mag_mean,-6.525875042573913,898.6909121497822,0.022899475506838133,5.117980972365618e-83,0.3361232677096959,16086
acc_z_std,-6.380133827458937,886.6792762384201,0.02197137922896464,1.0811653912379086e-79,0.33564476517180847,16086
acc_z_rms,-6.3794126162731715,886.6748271548821,0.021969768486416102,1.0956201611547926e-79,0.3356194027154869,16086
acc_z_energy,-0.37119797589222253,864.0455999673604,0.021785342182493724,5.012034174132757e-79,0.01961297421322719,16086
acc_sma,-4.3247989488732825,896.6170735289405,0.020772520211307384,2.1114398185249661e-75,0.23413486632196207,16086
acc_corr_yz,78.6056349716619,837.8854489000948,0.02041266019130391,4.0890513671574e-74,4.293667669044143,16086
acc_mag_rms,-5.24471224927254,896.8843633661843,0.020363472538714546,6.130717804605467e-74,0.28683437616295726,16086
acc_x_spectral_energy,-0.5498466045753984,864.433961111583,0.01978635912293558,7.089781133060162e-72,0.03051560204869871,16086
acc_mag_entropy,-63.91842353064766,1028.713030351548,0.018772789018982324,2.961839283635366e-68,3.643757071317727,16086
acc_x_dom_freq,-5.261894918323123,862.3964349783438,0.017189103679090306,1.3274568489777535e-62,0.3137281615061365,16086
acc_z_peak2peak,-0.5728770308179356,877.0743106991578,0.013371358040886626,5.222595867259384e-49,0.038801943423201195,16086
acc_x_energy,-0.4692746218599766,859.2767410429524,0.012796064987675052,5.79763433063044e-47,0.03250089020631072,16086
acc_magnitude_std,-6.92936166414248,881.9867701633344,0.011964677752663373,5.221497217770028e-44,0.49651449226548805,16086
acc_mag_std,-6.92936166414248,881.9867701633344,0.011964677752663373,5.221497217770028e-44,0.49651449226548805,16086
acc_corr_xz,-40.06408865030304,843.5324508493838,0.009800004859854562,2.5360529208067857e-36,3.175459297154876,16086
acc_magnitude_range,-0.646657379563911,871.1430221087002,0.009772932692195247,3.164012779590712e-36,0.051325377067641766,16086
acc_mag_peak2peak,-0.646657379563911,871.1430221087002,0.009772932692195247,3.164012779590712e-36,0.051325377067641766,16086
acc_y_jerk_mean,-0.26189922261943943,873.7222351225176,0.00872848461969726,1.6082630816711513e-32,0.022007163245346982,16086
acc_x_std,-5.075772315889062,870.0932241189887,0.008487050016840234,1.1558942553407802e-31,0.4325894414678024,16086
acc_x_rms,-5.0753070538753695,870.0895953720296,0.008484993565600838,1.1754761129751036e-31,0.4326026514408061,16086
acc_x_peak2peak,-0.4315324992300233,865.5012326521073,0.008416918100205896,2.049862408604812e-31,0.03693214056309189,16086
acc_z_dom_freq,3.1058562989169007,832.5711787161997,0.006518271596129585,1.1154164752978716e-24,0.30234169381049025,16086
acc_y_peak2peak,-0.309857721665109,856.9744888092085,0.003861081649277601,3.0716775088854353e-15,0.03924377275354026,16086
acc_y_rms,-3.754479275468927,860.1889903363549,0.0037804564187998023,5.949645494670516e-15,0.4805715865934437,16086
acc_y_std,-3.754050314412213,860.1872047301248,0.003779626534695862,5.990274960509955e-15,0.4805696300328259,16086
acc_y_energy,-0.2735771208166716,849.9151041073081,0.002754376923201018,2.7305331138715378e-11,0.04104612149458632,16086
acc_y_spectral_energy,-0.24140796558314745,849.5713668940921,0.002437039762282604,3.7402202173892056e-10,0.03851176421573134,16086
acc_corr_xy,-28.48126656603444,842.5599699521227,0.0022766410635554095,1.4077277386262928e-09,4.701322609457861,16086
acc_y_entropy,-14.049044409073332,879.4186359340932,0.001065536499363697,3.460112708073267e-05,3.3918300696080657,16086
acc_z_entropy,12.3524080658668,808.9764780950666,0.0009914237027997047,6.491856926625908e-05,3.091786933926886,16086
acc_y_dom_freq,0.9275241350965824,840.1184462307507,0.00029206181164251257,0.030196644287420606,0.427885303316343,16086
acc_clip_ratio,-34209.59235910886,848.5556192577403,0.00013861313871164086,0.13539424438756753,22909.6559203228,16086
acc_z_mean,-9.199376569393134,842.3794186663147,5.620842553853185e-05,0.34169710683055193,9.674943744672907,16086
acc_y_mean,-0.3911121506496101,842.3772083190717,3.1840613308232205e-08,0.9819455612364859,17.282778222773118,16086
acc_x_mean,0.03685378795602239,842.3772900396563,2.3786767540416387e-10,0.9984393777996857,18.841582933626075,16086
